Count of Minutes (TimeUTC),Column Labels,,,,,,
Row Labels,CA,CN,GB,JP,NZ,US,Grand Total
45179,57,18,3,8,6,69,161
45183,63,11,7,4,7,75,167
45185,60,12,7,7,5,72,163
45187,61,,6,6,7,78,158
45189,62,,5,8,8,82,165
45190,56,26,2,7,5,71,167
45197,59,,7,9,10,80,165
45198,60,11,2,6,6,72,157
45201,57,13,4,10,8,74,166
45206,59,26,1,11,6,72,175
45212,61,17,4,10,7,76,175
45217,59,12,2,5,8,73,159
45222,52,25,3,6,5,64,155
45223,56,25,2,10,5,74,172
45225,53,28,,9,7,65,162
45228,58,25,2,6,5,64,160
45229,52,29,,11,9,70,171
45230,53,28,,11,10,71,173
45235,63,6,6,2,6,76,159
45237,54,20,,8,6,67,155
45531,53,22,12,1,18,54,160
45540,51,24,12,3,15,51,156
45543,51,25,12,3,16,54,161
45555,59,16,10,,11,59,155
45567,60,12,13,,10,70,165
45569,60,10,12,,11,64,157
45570,63,12,13,,9,67,164
45572,60,11,5,5,7,68,156
45573,59,10,13,,14,70,166
45581,62,12,10,,10,67,161
45582,58,7,10,,13,71,159
45589,59,7,11,,12,69,158
45660,64,,10,,5,76,155
45663,60,7,6,6,5,71,155
45669,60,,7,9,9,75,160
45670,59,9,4,10,9,81,172
45679,61,6,7,5,10,73,162
45685,61,,8,9,10,82,170
45689,62,,8,9,10,80,169
45693,61,,9,8,8,81,167
45695,62,12,6,6,7,78,171
45696,58,,8,9,9,74,158
45697,63,12,7,7,5,76,170
45700,57,6,4,9,9,79,164
45701,64,11,7,6,5,77,170
45706,55,15,3,9,9,71,162
45710,61,13,5,12,9,81,181
45711,64,12,6,4,6,76,168
45712,60,12,3,11,10,81,177
46074,52,22,14,2,18,55,163
46079,53,23,12,,16,55,159
46326,54,13,,11,10,73,161
46329,54,32,,9,2,71,168
46331,56,15,1,11,10,73,166
46333,56,19,3,9,8,64,159
46335,60,25,3,6,8,73,175
46337,51,32,,5,6,62,156
46338,62,25,2,6,5,75,175
46340,51,21,,11,10,67,160
46342,54,13,,11,9,70,157
46351,52,36,,7,5,64,164
46352,54,31,,10,3,70,168
46353,61,19,3,7,7,79,176
46354,53,19,4,9,7,64,156
46355,58,22,1,11,9,70,171
46356,54,14,,12,11,72,163
46366,45,41,,13,,57,156
46384,60,24,3,7,5,76,175
47351,58,12,3,8,8,70,159
47352,62,3,9,,8,74,156
47353,54,26,,11,5,73,169
47354,59,16,4,10,10,76,175
47356,60,17,3,10,10,76,176
47357,64,,10,2,6,76,158
47358,60,7,3,9,8,76,163
47361,62,11,3,7,6,79,168
47362,59,,8,9,10,70,156
47367,62,,10,3,8,77,160
47368,62,,11,1,7,74,155
47371,61,,10,8,8,73,160
47373,61,,10,6,7,77,161
47377,59,,7,9,13,70,158
47378,61,24,3,6,5,77,176
47379,60,20,3,5,6,76,170
47380,61,12,6,6,6,71,162
47381,65,12,6,6,8,77,174
47382,62,12,2,6,5,76,163
47383,60,20,2,5,6,74,167
47384,61,7,4,9,7,77,165
47385,60,11,3,9,8,76,167
47386,65,12,7,6,8,75,173
47389,59,,4,10,10,81,164
47391,62,11,3,7,5,77,165
47392,61,12,3,7,5,76,164
47393,55,25,1,11,5,71,168
47395,60,25,3,6,6,75,175
47397,66,,10,,5,75,156
47399,63,11,7,7,5,79,172
47400,57,12,2,7,7,73,158
47401,59,11,7,6,6,75,164
47404,60,13,4,11,9,80,177
47405,64,3,11,,6,76,160
47406,58,16,4,10,10,76,174
47407,61,16,4,9,8,77,175
47408,61,12,6,8,7,79,173
47555,57,16,4,11,9,74,171
47556,56,12,3,9,9,68,157
47559,53,25,,11,5,74,168
47563,61,25,3,7,5,76,177
47565,57,26,1,11,6,74,175
47568,63,11,7,7,5,79,172
47572,56,24,3,7,5,68,163
47587,58,24,3,7,5,69,166
47588,54,14,2,11,10,73,164
47589,61,19,3,9,8,77,177
47590,59,7,7,9,8,75,165
47592,61,8,5,8,8,82,172
47596,62,12,5,8,7,79,173
47604,54,20,,9,7,67,157
47630,60,,8,10,9,80,167
47632,46,37,,12,,61,156
47638,45,41,,13,3,61,163
47643,60,12,4,7,6,72,161
47648,60,7,8,9,8,72,164
47649,62,7,7,8,7,73,164
47650,59,4,7,10,10,78,168
47652,60,6,12,,8,69,155
47656,60,6,7,10,9,69,161
47667,57,7,11,,11,70,156
47672,64,12,7,7,6,77,173
47981,45,41,,8,1,60,155
48010,46,40,,11,,57,154
48105,51,22,13,2,16,54,158
48143,51,23,10,,17,56,157
48276,58,3,7,9,10,78,165
48277,62,25,2,7,5,73,174
48278,60,11,3,7,5,76,162
48286,60,12,13,,10,67,162
48293,59,10,12,,13,65,159
48294,59,9,12,,11,69,160
48295,58,10,14,,13,69,164
48298,62,11,14,,11,67,165
48299,62,12,12,,9,65,160
48300,53,19,12,,17,55,156
48310,61,13,11,,8,61,154
48312,59,17,11,,9,60,156
48316,54,18,12,,15,56,155
48327,54,19,12,,17,54,156
48329,52,19,12,,17,55,155
48331,54,23,13,1,16,55,162
48332,51,22,14,1,18,54,160
48333,53,22,13,2,17,54,161
48334,51,24,13,3,16,55,162
48353,52,25,1,11,5,65,159
48354,50,26,1,11,6,61,155
48357,52,32,,9,7,65,165
48359,54,25,,6,5,66,156
48360,52,27,,7,5,64,155
48361,54,31,,7,5,69,166
48362,55,25,,11,5,67,163
48364,54,35,,7,3,68,167
48367,48,31,,10,5,64,158
48368,53,36,,6,,69,164
48370,48,38,,7,5,62,160
48371,51,35,,6,5,61,158
48373,52,35,,6,,66,159
48375,52,35,,7,,69,163
48376,52,35,,7,,72,166
48378,51,32,,9,2,61,155
48380,54,32,,9,2,68,165
48386,46,33,,11,5,60,155
48395,48,37,,8,,62,155
48396,47,37,,13,5,62,164
48397,45,36,,12,,62,155
48398,47,37,,12,,60,156
48399,48,36,,11,,62,157
48400,48,38,,10,,60,156
48580,53,23,12,2,15,55,160
48670,49,23,13,2,14,54,155
48672,52,24,12,2,15,49,154
48674,51,24,14,3,17,52,161
48682,61,4,9,,11,69,154
48683,60,7,12,,12,72,163
48687,64,3,11,,6,75,159
48691,60,10,13,,10,71,164
51722,43,45,,10,,58,156
51724,45,44,,10,,61,160
51783,45,39,,12,4,57,157
51786,49,36,,11,5,59,160
51788,52,35,,6,,61,154
51789,48,33,,11,5,60,157
51790,51,37,,5,,64,157
51791,48,37,,10,6,61,162
51792,51,37,,7,,69,164
51793,50,36,,8,4,60,158
51794,54,34,,7,2,59,156
51795,51,38,,7,2,59,157
51812,45,40,,10,,60,155
51852,61,24,3,4,5,75,172
51854,61,25,3,6,5,73,173
51855,61,20,4,9,7,73,174
51856,61,24,3,7,6,74,175
51857,62,20,3,9,7,75,176
51858,62,19,3,7,6,79,176
51859,52,24,,11,10,72,169
51860,52,27,,11,10,67,167
51861,55,25,1,11,6,72,170
51862,54,25,,11,10,72,172
51863,56,26,2,10,6,72,172
51864,57,25,2,10,5,71,170
51865,60,25,2,5,5,71,168
51866,59,25,3,5,5,69,166
51867,59,26,2,4,6,67,164
51868,59,25,2,5,5,70,166
51869,53,23,,7,5,66,154
51870,55,25,3,7,5,63,158
51871,54,22,,7,8,66,157
51872,53,24,3,7,6,61,154
51875,54,25,,11,9,71,170
51877,54,35,,7,6,67,169
51878,53,24,,9,9,65,160
51879,53,32,,9,2,65,161
51881,53,29,,10,3,67,162
51882,53,34,,8,7,66,168
51883,52,29,,7,7,67,162
51884,54,31,,9,3,68,165
51885,54,24,,11,5,67,161
51886,53,27,,9,4,66,159
51888,53,28,,11,5,68,165
51895,54,28,,5,5,62,154
51897,51,32,,7,5,66,161
51898,52,33,,7,5,65,162
51956,55,12,,11,10,73,161
51957,63,11,7,6,5,78,170
51958,58,13,1,11,10,71,164
51959,63,12,7,7,5,76,170
51960,61,11,7,7,6,76,168
51962,61,20,3,9,8,79,180
51963,58,15,2,6,7,72,160
51964,59,13,4,10,9,82,177
51965,61,9,4,7,7,80,168
51966,57,18,4,10,9,76,174
51968,57,12,2,7,7,70,155
51969,62,21,3,9,7,78,180
51970,60,17,3,11,10,77,178
51971,59,13,6,8,8,73,167
51972,59,13,4,11,10,81,178
51973,58,15,4,10,10,79,176
51974,61,13,5,11,8,82,180
51975,56,13,5,12,10,72,168
51977,51,13,,11,10,73,158
51980,60,9,3,9,8,80,169
51981,60,5,3,9,10,76,163
51983,59,4,4,10,9,77,163
51984,65,12,7,5,8,78,175
51985,58,2,3,9,11,79,162
51986,61,5,4,10,7,74,161
51987,64,11,6,4,6,77,168
51988,61,9,6,7,7,79,169
51989,66,12,6,4,6,78,172
51990,54,14,,11,10,73,162
51991,64,11,6,7,5,80,173
51992,57,16,1,9,8,70,161
51993,60,8,7,9,7,76,167
51994,57,21,2,8,6,69,163
51995,55,13,1,10,10,71,160
51996,59,25,3,6,7,72,172
51997,56,12,2,11,9,71,161
51998,61,20,3,9,9,70,172
51999,59,25,3,5,5,73,170
52000,54,13,,11,10,70,158
52001,59,17,3,10,9,66,164
52002,57,18,4,10,8,65,162
52096,58,10,12,,12,69,161
52103,59,10,12,,11,67,159
52105,59,11,12,,9,67,158
52106,62,12,12,,10,64,160
52107,61,12,11,,9,63,156
52108,58,10,13,,9,68,158
52110,62,11,14,,11,67,165
52112,62,12,10,,10,64,158
52119,59,7,12,,11,65,154
52125,59,7,7,,13,69,155
52126,59,6,11,,11,67,154
52127,60,9,8,,12,69,158
52132,59,9,8,,11,70,157
52133,62,,10,3,11,70,156
52139,60,10,12,,12,69,163
52262,53,23,13,2,16,54,161
52263,52,23,13,3,16,52,159
52264,50,24,12,3,15,51,155
52286,51,22,11,,17,54,155
52287,52,22,12,2,15,53,156
52288,52,22,11,,16,53,154
52290,52,22,13,2,15,53,157
52292,53,20,14,2,17,54,160
52293,52,22,12,1,16,53,156
52295,52,22,12,2,15,53,156
52297,52,23,12,2,15,51,155
52298,50,23,12,1,17,54,157
52302,62,12,13,,8,62,157
52451,62,4,11,,7,72,156
52453,61,4,11,,10,69,155
52455,61,6,11,,10,67,155
52457,59,6,12,,12,68,157
52463,64,6,7,,5,75,157
52465,63,11,7,4,5,72,162
52467,57,2,8,9,11,70,157
52468,61,,9,9,9,77,165
52470,61,,9,6,6,75,157
52471,60,,7,9,10,69,155
52472,65,,11,3,7,79,165
52473,62,,9,8,8,78,165
52474,64,10,7,7,6,73,167
52475,59,,7,10,11,69,156
52476,62,,6,3,8,77,156
52477,64,12,7,7,5,74,169
52478,65,,11,1,5,75,157
52479,61,7,7,9,8,73,165
52482,58,4,7,10,10,76,165
52483,59,7,7,9,8,75,165
52485,59,5,7,9,8,76,164
52487,62,7,7,8,7,70,161
52490,59,,7,9,10,79,164
52491,59,1,7,9,10,79,165
52492,62,,6,9,8,78,163
52493,60,,8,10,9,78,165
52494,65,,7,2,6,76,156
52496,64,10,8,7,6,77,172
52497,62,,6,7,7,78,160
52498,61,13,6,10,7,78,175
52499,62,,6,5,7,77,157
52500,62,13,6,9,7,80,177
52501,63,10,7,7,7,72,166
52502,65,12,5,6,8,79,175
52503,63,12,6,7,5,81,174
52830,60,13,5,11,10,79,178
52831,62,13,5,10,8,77,175
52832,62,12,6,8,6,76,170
52833,65,12,7,6,7,78,175
52834,64,11,7,5,5,74,166
52835,61,11,7,6,5,73,163
52836,60,13,5,11,9,79,177
52837,62,7,3,8,6,77,163
52838,61,9,3,7,7,77,164
52839,59,6,3,9,9,72,158
52840,61,12,4,7,5,77,166
52841,57,15,4,10,10,79,175
52842,60,7,4,9,7,73,160
52843,59,13,4,11,10,78,175
52844,59,9,4,9,8,72,161
52845,59,13,3,11,9,79,174
52846,57,14,4,11,10,78,174
52847,61,12,6,11,9,79,178
52848,58,14,3,10,10,76,171
52849,60,18,3,9,10,74,174
52850,62,10,3,7,6,78,166
52851,58,17,4,11,10,76,176
52852,61,17,3,10,8,74,173
52853,57,13,4,11,9,70,164
52854,59,13,3,11,10,78,174
52855,55,13,5,11,9,72,165
52856,57,13,3,11,10,75,169
52857,57,13,2,9,7,71,159
52858,55,13,4,11,10,73,166
52859,59,12,2,5,8,71,157
52860,56,12,2,10,8,71,159
52861,60,23,3,7,6,79,178
52863,60,19,2,7,5,75,168
52864,62,14,3,4,6,74,163
52865,60,21,3,7,8,78,177
52866,61,23,3,6,5,75,173
52867,59,19,3,9,8,74,172
52868,62,24,3,7,5,77,178
52869,62,25,3,5,5,76,176
52870,61,19,3,9,7,76,175
52871,61,23,3,7,6,71,171
52872,59,24,2,7,5,75,172
52873,53,19,4,9,7,63,155
52875,52,19,1,9,9,66,156
52876,55,19,3,7,8,69,161
52877,55,25,1,11,9,70,171
52878,54,18,,10,8,64,154
52879,60,25,3,6,6,72,172
52880,57,25,2,9,7,72,172
52882,54,13,,11,11,71,160
53002,51,22,11,,15,56,155
53009,60,11,12,,9,62,154
53011,61,12,13,,8,64,158
53013,60,13,11,,9,62,155
53014,62,12,14,,11,69,168
53018,60,9,13,,11,63,156
53027,57,10,13,,9,66,155
53029,56,9,12,,12,69,158
53031,58,10,9,,9,68,154
53032,59,10,11,,10,69,159
53033,59,10,9,,12,68,158
53034,59,9,11,,11,69,159
53036,61,7,11,,9,68,156
53409,52,22,13,2,16,52,157
53418,50,22,11,,17,54,154
53426,51,22,13,2,14,54,156
53429,53,23,13,2,17,52,160
53430,51,24,12,2,16,50,155
53431,54,20,11,,16,53,154
53529,58,7,11,,12,70,158
53531,59,7,11,,11,68,156
53536,64,3,11,,5,75,158
53543,64,,11,,5,74,154
53545,62,4,11,,8,75,160
53546,62,,9,9,10,77,167
53552,59,,9,9,10,71,158
53556,64,,10,2,6,73,155
53557,59,,10,9,11,67,156
53558,60,,8,9,9,72,158
53559,64,,10,5,7,70,156
53560,62,,10,6,7,79,164
53561,66,,11,1,7,74,159
53562,65,,10,3,8,80,166
53563,61,,8,8,8,80,165
53565,63,,10,4,6,78,161
53567,64,,7,2,6,76,155
53568,62,7,8,5,7,69,158
53572,59,2,7,10,11,79,168
53573,61,7,7,9,9,71,164
53574,59,4,8,9,9,71,160
53575,61,5,8,10,8,68,160
53576,60,6,7,9,10,69,161
53577,61,5,7,9,10,67,159
53578,61,,8,9,10,81,169
53579,60,,8,9,8,79,164
53889,44,45,,10,,55,154
54051,48,36,,11,,60,155
54053,49,37,,10,,60,156
54054,51,37,,5,,62,155
54055,49,37,,10,,60,156
54056,47,37,,11,1,61,157
54070,44,38,,11,5,56,154
54071,46,35,,11,5,60,157
54073,44,41,,11,3,56,155
54074,47,36,,10,5,60,158
54079,45,40,,11,,58,154
54087,44,45,,10,1,58,158
54091,44,39,,10,2,62,157
54095,45,41,,8,,60,154
54098,44,41,,10,1,62,158
54157,56,26,1,10,8,71,172
54158,54,16,,9,10,65,154
54159,53,15,,10,9,69,156
54161,54,16,,10,11,67,158
54162,55,18,,11,9,70,163
54165,55,22,1,11,8,71,168
54167,59,25,2,4,5,72,167
54168,54,23,,7,5,67,156
54170,54,25,,8,7,65,159
54172,53,30,,9,7,64,163
54175,53,26,,7,7,68,161
54176,52,29,,9,6,64,160
54177,54,32,,9,9,63,167
54178,55,25,1,11,6,71,169
54179,54,29,,10,8,63,164
54180,55,25,2,11,5,69,167
54181,54,25,,12,5,72,168
54183,55,26,1,11,6,62,161
54184,56,26,1,11,6,70,170
54185,52,25,,11,5,71,164
54187,52,26,,10,4,70,162
54192,53,31,,8,2,69,163
54194,52,36,,5,5,62,160
54196,53,36,,6,3,64,162
54198,53,35,,6,,67,161
54199,52,38,,4,5,63,162
54200,52,32,,7,2,71,164
54202,52,30,,9,2,67,160
54203,53,35,,7,,71,166
54205,52,31,,9,3,60,155
54758,58,3,4,9,9,79,162
54759,59,,4,9,11,79,162
54760,62,2,5,7,8,78,162
54761,62,,6,9,9,79,165
54762,63,12,6,5,6,73,165
54763,61,7,6,6,6,76,162
54764,63,11,7,7,6,81,175
54766,65,12,6,6,5,73,167
54767,64,11,7,7,5,80,174
54768,60,12,4,5,6,74,161
54770,62,12,3,7,8,79,171
54771,64,11,7,7,5,79,173
54772,62,17,4,9,7,74,173
54773,63,7,7,7,7,77,168
54775,61,7,8,9,7,74,166
54776,58,,4,9,10,80,161
54777,62,7,7,9,9,73,167
54778,60,18,4,10,7,73,172
54779,60,19,3,9,9,76,176
54780,61,13,4,11,10,79,178
54781,59,17,3,9,10,75,173
54783,59,15,4,10,10,77,175
54784,60,5,8,10,7,74,164
54785,54,33,,7,,68,162
54787,59,4,7,9,10,74,163
54788,60,13,4,11,8,79,175
54789,61,25,2,6,5,77,176
54790,61,13,4,10,8,72,168
54791,59,13,3,12,10,79,176
54792,59,,3,10,11,75,158
54793,61,23,3,7,5,79,178
54795,61,13,6,11,10,78,179
54796,58,12,6,9,6,69,160
54797,63,7,7,8,8,76,169
54798,52,17,3,11,10,65,158
54799,61,23,3,7,7,77,178
54800,65,12,6,5,7,74,169
54801,60,,4,8,8,79,159
54803,58,3,8,9,9,78,165
54804,61,11,3,7,5,75,162
54805,60,12,7,6,8,71,164
54806,61,12,2,6,5,76,162
54807,61,12,3,5,5,75,161
54808,56,25,1,11,8,70,171
54809,61,11,3,7,5,79,166
54810,60,13,4,11,9,75,172
54811,62,21,3,7,6,78,177
57941,60,11,5,6,5,69,156
58378,58,19,3,7,6,67,160
58381,57,11,5,5,7,71,156
58382,54,12,3,10,9,69,157
58385,57,17,3,9,6,69,161
58386,57,17,2,9,7,66,158
58387,55,13,3,10,8,68,157
58388,59,12,4,9,7,71,162
58389,56,12,3,10,7,71,159
58390,58,12,4,6,7,68,155
58391,55,12,3,11,7,69,157
58394,58,16,3,9,7,68,161
58766,59,7,7,7,5,71,156
58771,57,5,6,9,7,70,154
58773,58,5,7,9,7,68,154
58784,58,5,6,9,7,69,154
61547,60,11,6,5,5,69,156
61548,58,11,5,5,6,70,155
61549,60,10,6,6,5,68,155
61550,60,11,6,5,7,67,156
62446,53,25,1,6,5,64,154
62449,54,25,,9,5,61,154
64916,56,18,3,8,6,65,156
64917,57,14,3,9,7,65,155
64918,56,12,3,10,7,67,155
64931,57,17,2,8,6,65,155
Grand Total,31488,9065,2732,3760,4187,38426,89658
